NAICS,CHP and/or Cogeneration Process,Conventional Boiler Use,Conventional Electricity Generation,Machine Drive,Process Heating,Grand Total
211111,0.23321,0.23321,0.06664,0.00018,0.00035,1
211112,0.24472,0.24472,0.00000,0.00000,0.02112,1
2111,0.23328,0.23328,0.06622,0.00017,0.00048,1
211,0.23328,0.23328,0.06622,0.00017,0.00048,1
212111,0.25000,0.25000,0.00000,0.00000,0.00000,1
212210,0.25000,0.25000,0.00000,0.00000,0.00000,1
212221,0.25000,0.25000,0.00000,0.00000,0.00000,1
212299,0.25000,0.25000,0.00000,0.00000,0.00000,1
2122,0.25000,0.25000,0.00000,0.00000,0.00000,1
212311,0.25000,0.25000,0.00000,0.00000,0.00000,1
212312,0.25000,0.25000,0.00000,0.00000,0.00000,1
212313,0.25000,0.25000,0.00000,0.00000,0.00000,1
212319,0.25000,0.25000,0.00000,0.00000,0.00000,1
212321,0.25000,0.25000,0.00000,0.00000,0.00000,1
212322,0.25000,0.25000,0.00000,0.00000,0.00000,1
212324,0.25000,0.25000,0.00000,0.00000,0.00000,1
212325,0.25000,0.25000,0.00000,0.00000,0.00000,1
212391,0.25000,0.25000,0.00000,0.00000,0.00000,0
212393,0.25000,0.25000,0.00000,0.00000,0.00000,1
212399,0.25000,0.25000,0.00000,0.00000,0.00000,1
2123,0.25000,0.25000,0.00000,0.00000,0.00000,1
212,0.25000,0.25000,0.00000,0.00000,0.00000,1
213111,0.00000,0.00000,0.00000,0.00000,0.00000,1
213112,0.25000,0.25000,0.00000,0.00000,0.00000,1
213113,0.25000,0.25000,0.00000,0.00000,0.00000,1
213114,0.25000,0.25000,0.00000,0.00000,0.00000,1
213115,0.25000,0.25000,0.00000,0.00000,0.00000,1
2131,0.25000,0.25000,0.00000,0.00000,0.00000,1
213,0.25000,0.25000,0.00000,0.00000,0.00000,1
212110,0.25000,0.25000,0.00000,0.00000,0.00000,1
212113,0.25000,0.25000,0.00000,0.00000,0.00000,1
212310,0.25000,0.25000,0.00000,0.00000,0.00000,1
212320,0.25000,0.25000,0.00000,0.00000,0.00000,1
212222,0.25000,0.25000,0.00000,0.00000,0.00000,1
213110,0.25000,0.25000,0.00000,0.00000,0.00000,1
212392,0.25000,0.25000,0.00000,0.00000,0.00000,1
211110,0.23328,0.23328,0.06622,0.00017,0.00048,1
2100,0.23462,0.23462,0.06093,0.00016,0.00044,1
210000,0.23462,0.23462,0.06093,0.00016,0.00044,1
211000,0.23328,0.23328,0.06622,0.00017,0.00048,1
211100,0.23328,0.23328,0.06622,0.00017,0.00048,1
211120,0.23328,0.23328,0.06622,0.00017,0.00048,1
211130,0.23328,0.23328,0.06622,0.00017,0.00048,1
212000,0.25000,0.25000,0.00000,0.00000,0.00000,1
212230,0.25000,0.25000,0.00000,0.00000,0.00000,1
212234,0.25000,0.25000,0.00000,0.00000,0.00000,1
212300,0.25000,0.25000,0.00000,0.00000,0.00000,1