NAICS,CHP and/or Cogeneration Process,Conventional Boiler Use,Conventional Electricity Generation,Electro-Chemical Processes,Facility HVAC,Facility Lighting,Machine Drive,Onsite Transportation,Other Facility Support,Other Nonprocess Use,Other Process Use,Process Cooling and Refrigeration,Process Heating,Total,,,,,,
316999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
316998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
316993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
316992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
316991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
316990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
316219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
316214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
316213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
316212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
316211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
316210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
316110,0,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
315999,0,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
315993,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
315992,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
315991,0.2,0.3,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
315990,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
315299,0.3,0.3,0,0,0.1,0,0,0,0,0,0,0,0.3,1,,,,,,
315292,0.3,0.3,0,0,0.1,0,0,0,0,0,0,0,0.3,1,,,,,,
315291,0,0.3,0,0,0.5,0,0,0,0,0,0,0,0.1,1,,,,,,
315280,0.1,0.3,0,0,0.4,0,0,0,0,0,0,0,0.1,1,,,,,,
315240,0,0.3,0,0,0.5,0,0,0,0,0,0,0,0.1,1,,,,,,
315239,0,0.3,0,0,0.5,0,0,0,0,0,0,0,0.1,1,,,,,,
315234,0,0.3,0,0,0.5,0,0,0,0,0,0,0,0.1,1,,,,,,
315233,0,0.3,0,0,0.5,0,0,0,0,0,0,0,0.1,1,,,,,,
315232,0,0.3,0,0,0.5,0,0,0,0,0,0,0,0.1,1,,,,,,
315231,0,0.3,0,0,0.5,0,0,0,0,0,0,0,0.1,1,,,,,,
315228,0,0.3,0,0,0.5,0,0,0,0,0,0,0,0.1,1,,,,,,
315225,0.1,0.3,0,0,0.4,0,0,0,0,0,0,0,0.1,1,,,,,,
315224,0.1,0.3,0,0,0.4,0,0,0,0,0,0,0,0.1,1,,,,,,
315223,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0.3,1,,,,,,
315222,0,0.4,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
315221,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0.3,1,,,,,,
315220,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0.3,1,,,,,,
315212,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0.3,1,,,,,,
315211,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0.3,1,,,,,,
315210,0.2,0.4,0,0,0.1,0,0,0,0,0,0,0,0.3,1,,,,,,
315191,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.3,1,,,,,,
315190,0.3,0.3,0,0,0.1,0,0,0,0,0,0,0,0.2,1,,,,,,
315119,0.3,0.3,0,0,0.1,0,0,0,0,0,0,0,0.2,1,,,,,,
315111,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.6,1,,,,,,
315110,0.3,0.5,0,0,0.1,0,0,0,0,0,0,0,0.1,1,,,,,,
314999,0.1,0.6,0,0,0.1,0,0,0,0,0,0,0,0.1,1,,,,,,
314994,0.4,0.4,0,0,0.1,0,0,0,0,0,0,0,0.1,1,,,,,,
314992,0.4,0.4,0,0,0.1,0,0,0,0,0,0,0,0.1,1,,,,,,
314991,0.4,0.4,0,0,0.1,0,0,0,0,0,0,0,0.1,1,,,,,,
314912,0,0.3,0,0,0.1,0,0.1,0,0,0,0,0,0.5,1,,,,,,
314911,0,0.3,0,0,0.1,0,0.1,0,0,0,0,0,0.5,1,,,,,,
314910,0,0.3,0,0,0.1,0,0.1,0,0,0,0,0,0.5,1,,,,,,
314129,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0.4,1,,,,,,
314121,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0.4,1,,,,,,
314120,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0.4,1,,,,,,
314110,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0.4,1,,,,,,
313320,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0.4,1,,,,,,
313312,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
313311,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
313310,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
313249,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
313241,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
313240,0.2,0.2,0,0,0.3,0,0,0,0,0,0,0,0.2,1,,,,,,
313230,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
313222,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
313221,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
313220,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
313210,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
313113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
313112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
313111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
313110,0.1,0.3,0,0,0,0,0,0,0,0,0.1,0,0.4,1,,,,,,
312230,0.1,0.3,0,0,0,0,0,0,0,0,0.1,0,0.4,1,,,,,,
312229,0.2,0.3,0,0,0,0,0,0,0,0,0.1,0,0.4,1,,,,,,
312221,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
312210,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
312140,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
312130,0,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
312120,0,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
312113,0,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
312112,0,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
312111,0,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
311999,0.3,0.3,0,0,0.1,0,0,0,0,0,0,0,0.3,1,,,,,,
311991,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0.7,1,,,,,,
311942,0,0,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
311941,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0.7,1,,,,,,
311930,0,0,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
311920,0,0,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
311919,0,0,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
311911,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0.7,1,,,,,,
311830,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0.3,1,,,,,,
311824,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
311823,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
311822,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
311821,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
311813,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
311812,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
311811,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
311712,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
311711,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
311710,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
311615,0,0.7,0,0,0.1,0,0,0,0,0,0,0,0.2,1,,,,,,
311613,0.3,0.5,0,0,0.1,0,0,0,0,0,0,0,0.2,1,,,,,,
311612,0.4,0.4,0,0,0.1,0,0,0,0,0,0,0,0.1,1,,,,,,
311611,0.1,0.6,0,0,0.1,0,0,0,0,0,0,0,0.2,1,,,,,,
311520,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0.1,1,,,,,,
311514,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0.1,1,,,,,,
311513,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.3,1,,,,,,
311512,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.3,1,,,,,,
311511,0.2,0.4,0,0,0.1,0,0,0,0,0,0,0,0.3,1,,,,,,
311423,0.4,0.3,0,0,0.1,0,0,0,0,0,0,0,0.2,1,,,,,,
311422,0.4,0.3,0,0,0.1,0,0,0,0,0,0,0,0.2,1,,,,,,
311421,0,0.5,0,0,0.3,0,0,0,0,0,0.1,0,0.1,1,,,,,,
311412,0,0.5,0,0,0.3,0,0,0,0,0,0.1,0,0.1,1,,,,,,
311411,0,0.5,0,0,0.3,0,0,0,0,0,0.1,0,0.1,1,,,,,,
311352,0,0.5,0,0,0.3,0,0,0,0,0,0.1,0,0.1,1,,,,,,
311351,0.1,0.4,0,0,0.3,0,0,0,0,0,0.1,0,0.1,1,,,,,,
311340,0.1,0.4,0,0,0.3,0,0,0,0,0,0.1,0,0.1,1,,,,,,
311330,0.1,0.4,0,0,0.3,0,0,0,0,0,0.1,0,0.1,1,,,,,,
311320,0.1,0.4,0,0,0.4,0,0,0,0,0,0,0,0.1,1,,,,,,
311314,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0.3,1,,,,,,
311313,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
311312,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
311311,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
311230,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
311225,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
311224,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
311223,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
311222,0,0,0,0,0.1,0,0,0,0,0,0,0,0.8,1,,,,,,
311221,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
311213,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.5,1,,,,,,
311212,0.1,0.1,0,0,0.2,0,0,0,0,0,0,0,0.5,1,,,,,,
311211,0,0.1,0,0,0,0,0,0,0,0,0,0,0.8,1,,,,,,
311119,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
311111,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
31523,0,0.3,0,0,0.5,0,0,0,0,0,0,0,0.1,1,,,,,,
31499,0,0.3,0,0,0.1,0,0.1,0,0,0,0,0,0.5,1,,,,,,
31222,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
31211,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
31199,0,0,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
31194,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0.7,1,,,,,,
31191,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0.7,1,,,,,,
31182,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
31181,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
31161,0,0.6,0,0,0.1,0,0,0,0,0,0,0,0.2,1,,,,,,
31151,0,0.5,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
31142,0,0.5,0,0,0.3,0,0,0,0,0,0.1,0,0.1,1,,,,,,
31141,0.1,0.4,0,0,0.3,0,0,0,0,0,0.1,0,0.1,1,,,,,,
31135,0.1,0.4,0,0,0.3,0,0,0,0,0,0.1,0,0.1,1,,,,,,
31131,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
31122,0.4,0.3,0,0,0.1,0,0,0,0,0,0,0,0.2,1,,,,,,
31121,0,0.1,0,0,0,0,0,0,0,0,0,0,0.8,1,,,,,,
31111,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
3169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
3161,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
3159,0.2,0.3,0,0,0.1,0,0,0,0,0,0,0,0.3,1,,,,,,
3152,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.3,1,,,,,,
3152,0,0.5,0,0,0.1,0,0,0,0.1,0,0,0,0.3,1,,,,,,
3151,0.1,0.6,0,0,0.1,0,0,0,0,0,0,0,0.1,1,,,,,,
3149,0,0.3,0,0,0.1,0,0.1,0,0,0,0,0,0.5,1,,,,,,
3149,0,0.3,0,0,0.1,0,0.1,0,0,0,0,0,0.5,1,,,,,,
3141,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0.4,1,,,,,,
3141,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0.4,1,,,,,,
3133,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0.2,1,,,,,,
3133,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
3133,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
3132,0.2,0.2,0,0,0.2,0,0,0,0,0,0,0,0.3,1,,,,,,
3132,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0.4,1,,,,,,
3122,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
3122,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
3121,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
3121,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
3119,0,0,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
3119,0,0,0,0,0.2,0,0,0,0,0,0,0,0.7,1,,,,,,
3118,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
3118,0,0.3,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
3117,0.1,0.6,0,0,0.1,0,0,0,0,0,0,0,0.2,1,,,,,,
3117,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
3116,0.1,0.6,0,0,0.1,0,0,0,0,0,0,0,0.2,1,,,,,,
3115,0.3,0.3,0,0,0.1,0,0,0,0,0,0,0,0.2,1,,,,,,
3115,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.3,1,,,,,,
3114,0,0.4,0,0,0.3,0,0,0,0,0,0.1,0,0.1,1,,,,,,
3114,0.1,0.4,0,0,0.3,0,0,0,0,0,0.1,0,0.1,1,,,,,,
3113,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
3113,0,0,0,0,0,0,0,0,0,0,0.2,0,0.7,1,,,,,,
3112,0,0.1,0,0,0,0,0,0,0,0,0,0,0.7,1,,,,,,
3112,0,0.1,0,0,0,0,0,0,0,0,0,0,0.8,1,,,,,,
3111,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
3111,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.6,1,,,,,,
316,0.1,0.4,0,0,0.1,0,0,0,0,0,0,0,0.4,1,,,,,,
315,0.4,0.4,0,0,0.1,0,0,0,0,0,0,0,0.1,1,,,,,,
314,0,0.3,0,0,0.1,0,0.1,0,0,0,0,0,0.5,1,,,,,,
313,0,0.4,0,0,0,0,0,0,0,0,0.1,0,0.4,1,,,,,,
312,0.3,0.3,0,0,0.1,0,0,0,0,0,0,0,0.3,1,,,,,,
311,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,
31,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0.5,1,,,,,,